Entry	Gene names	Length
L8E864	HLA-DQA1	255
A0A481SHK9	HBB	147
S6BGD6		235
A0A024R9Y3	HUWE1 hCG_2000770	4359
Q6GMX4	IGL@	236
Q8NF17	FLJ00385	509
Q9NP10	IGF1	130
S6B291		466
S6C4S0		275
A0A499S0B6	HLA-B	362
Q8N5F4	IGL@	233
A0A0U5Q247	HLA-DQB1	261
Q6GMW3	IGL@	234
Q5JP69	C2 hCG_43694	752
U6BR87	HLA-B	337
E7ETK0	RPS24	131
Q6GMX0		236
A2NUW5		133
D9UAY1	HLA-A	337
A0A1X8XL64	H3F3AP6	139
E9PR30	FAU	98
Q0MQR4	PARG	976
O19707	HLA-DQB1	229
K7EMV3	H3-3B	92
Q0ZCI9		126
Q6N089	DKFZp686P15220	472
A0A140T913	HLA-A	371
A0N4Z6	Tcr-alpha	20
Q5T4P3	PIK3R3	206
Q0VDC6	FKBP1A	145
Q6PYX1		348
Q5RKT7	RPS27A	156
A0A6Q8PG51	NEDD4L	863
Q96JD1		112
Q0KKI6		219
A4F255	VHCH1	234
A0A024R969	CHI3L1 hCG_24326	383
E7ESL0	MRPL22	212
Q546I9	HLA-B	362
A0A6B9UEV8		117
F4NBQ8	HLA-B	337
A0A2R8Y811	RPS14	150
Q0ZCG9		121
Q7Z3Y4		236
A6XGL2	INS	98
H9PGF0	ND1	318
Q5Y7D1	HLA-DRB1 RP1-93N13.1-001	266
Q5NV88	V1-22	98
B4DR52		166
Q7Z3N8	DKFZp686I1750	657
F6IQY1	HLA-A	337
A0A0A8WFP6	HLA-DQB1	269
Q6MZV7	DKFZp686C11235	473
Q53GH5		468
U3PYM0	HLA-DQB1	261
Q5Y7C3	HLA-DQA1 DQA1	255
Q6FI18	CYR61 hCG_23652	381
I2G9G1	HLA-DPA1 DPA1	260
C1K0Y1	HLA-Cw HLA-C	366
I2FL84	HLA-DPB1	224
A0A024R644	CLN5 hCG_28176	407
Q5FWF9	IGL@	232
Q861F7	HLA-A	341
H0Y5F6	NCOA7	219
A0A0U5IHY9	HLA-DQB1	261
Q6GMX6	IGH@	465
H0Y4R8	SP100	259
A8K0B5	ZBTB8OS	179
Q9UG07	DKFZp586M1622 DVL3 hCG_40299	548
A0A5B4	TRBV20-1 TCRBV2S1	111
Q30066	HLA-DQA1	227
A0A2R3XZB7	STING LOC340061 hCG_1782396	379
Q6P5S8	IGK@	236
K7N5N2		207
A0A0C4DGY3	TTC8	505
O78189	HLA-B	362
A0A173ADG5	HLA-DQA1	255
Q67AJ6	HLA-DQB1	234
J3KQN4	RPL36A	142
Q53Z42	HLA-A HLA	365
Q96QC4	MICA hCG_2001511	332
H7C535	MAGI1	1136
Q16874	CYP21A2 CYP21B P450-CYP21B hCG_1999926	495
Q5SU54	HLA-DQB1	269
U3KQA6	BRD2	552
Q6PIL8	IGK@	236
A0A6B7HFJ9	HLA-B	362
J3KPF3	SLC3A2 hCG_2016598	631
A0A173ADK6	HLA-A	365
C5MK56	HLA-B	362
I3ZN84	HLA-B HLA-B*5703GB	362
K7N5M4	B2M HDCMA22P	259
Q6PJF2	IGK@	235
D6RDG8	SPOP	238
J3KP20	NTRK1	793
J3KRR7	CYLD	910
V9JN72	ND4L	98
O19712	HLA-DQB1	229
A0A6B9KAL0	HLA-DQB	265
Q86X06	BRD1	1189
Q95J06	HLA-A HLA HLA-A*24 :02 variant HLA-A*24:02 VARIANT	365
A0A024R326	RPL29 hCG_2000325	157
Q8HAX7	ND6	174
A8K9D2	MRPL18 hCG_34030	179
Q08AS3	HLA-DQA1	254
E7EVC7	ATG16L1	624
A0A0C4DGV4	LAMTOR5 HBXIP hCG_40252	173
H7C0V9	APP	485
W8QEY1		711
Q6ICR9	HLA-DMA	261
Q9HCC1		112
J3QS39	UBB	93
E9PMV2	HLA-DQA1	214
Q5JT35	MLLT10	763
Q6P4G7	TRA@	260
Q95HB9	HLA-DPA1	260
A8K7J6		123
E5RFS5	FYN	232
Q8TCD0		239
E9KL35		317
A0A0M3KKW6		225
A0A140T9E9	BRD2	807
U5YJP1	HLA-A	337
Q59FF6		870
Q0VAS5	HIST1H4H	103
J3KQL8	APOL2	449
Q5Y7D3	HLA-DQB1	261
B4E3L4		1198
A0A5H2UU57	HLA-A	365
B8YAC7	HLA-DRB3	183
B0I1S0		4307
E7EQ52	TNKS	1090
A0A0C4DFQ5	KLK4 KLNB1 hCG_1641510	254
Q2TU34	FBP1 hCG_1640493	338
Q92786	PROX1	737
Q9UKY0	PRND DPL UNQ1830/PRO3443	176
Q14914	PTGR1 LTB4DH	329
Q13308	PTK7 CCK4	1070
O00231	PSMD11	422
P28065	PSMB9 LMP2 PSMB6i RING12	219
Q96QB1	DLC1 ARHGAP7 KIAA1723 STARD12	1528
A6NLU0	RFPL4A RFPL4 RNF210	287
Q92963	RIT1 RIBB RIT ROC1	219
P62244	RPS15A OK/SW-cl.82	130
Q13425	SNTB2 D16S2531E SNT2B2 SNTL	540
Q86V20	SHLD2 FAM35A RINN2	835
Q969G3	SMARCE1 BAF57	411
P02788	LTF GIG12 LF	710
O43508	TNFSF12 APO3L DR3LG UNQ181/PRO207	249
Q9BVK8	TMEM147	224
Q8N4B1	PHETA1 FAM109A	249
O15047	SETD1A KIAA0339 KMT2F SET1 SET1A	1707
O95347	SMC2 CAPE SMC2L1 PRO0324	1197
P02549	SPTA1 SPTA	2419
Q8WWL2	SPIRE2 KIAA1832 SPIR2	714
Q96FJ0	STAMBPL1 AMSHLP KIAA1373	436
Q9UGK3	STAP2 BKS	403
Q9BUA3	SPINDOC C11orf84	381
Q9Y6A9	SPCS1 SPC12 HSPC033	169
Q8IX01	SUGP2 KIAA0365 SFRS14	1082
P08842	STS ARSC1	583
P46977	STT3A ITM1 TMC	705
Q658P3	STEAP3 TSAP6	488
Q9Y2K6	USP20 KIAA1003 LSFR3A VDU2	914
P19320	VCAM1	739
P21281	ATP6V1B2 ATP6B2 VPP3	511
P37288	AVPR1A AVPR1	418
P21796	VDAC1 VDAC	283
Q2YD98	UVSSA KIAA1530	709
P30518	AVPR2 ADHR DIR DIR3 V2R	371
Q969X6	UTP4 CIRH1A cPERP-E KIAA1988	686
P21283	ATP6V1C1 ATP6C ATP6D VATC	382
Q9NYH9	UTP6 C17orf40 HCA66 MHAT	597
Q8NBZ7	UXS1 UNQ2538/PRO6079	420
P61421	ATP6V0D1 ATP6D VPATPD	351
P11473	VDR NR1I1	427
P46939	UTRN DMDL DRP1	3433
O95399	UTS2 UNQ525/PRO1068	124
O14607	UTY KDM6C	1347
P07911	UMOD	640
Q9Y5K8	ATP6V1D ATP6M VATD	247
Q9P2Y5	UVRAG	699
P36543	ATP6V1E1 ATP6E ATP6E2	226
P00749	PLAU	431
Q16864	ATP6V1F ATP6S14 VATF	119
Q9P0L0	VAPA VAP33	249
Q86UX7	FERMT3 KIND3 MIG2B URP2	667
O75348	ATP6V1G1 ATP6G ATP6G1 ATP6J	118
O95292	VAPB UNQ484/PRO983	243
Q9UI12	ATP6V1H CGI-11	483
Q15904	ATP6AP1 ATP6IP1 ATP6S1 VATPS1 XAP3	470
Q7L8A9	VASH1 KIAA1036 VASH	365
Q9BTT4	MED10 L6 TRG17 TRG20	135
O43513	MED7 ARC34 CRSP9	233
Q9H488	POFUT1 FUT12 KIAA0180	388
Q14168	MPP2 DLG2	576
Q96T58	SPEN KIAA0929 MINT SHARP	3664
P49959	MRE11 HNGS1 MRE11A	708
Q9Y3B8	REXO2 SFN SMFN CGI-114	237
Q9UI43	MRM2 FJH1 FTSJ2	246
P20929	NEB	6669
Q16621	NFE2	373
Q9Y5A7	NUB1 NYREN18	615
Q12980	NPRL3 C16orf35 CGTHBA MARE	569
P0C025	NUDT17	328
P51513	NOVA1	507
Q9ULR3	PPM1H ARHCL1 KIAA1157 URCC2	514
P29475	NOS1	1434
O15294	OGT	1046
P40424	PBX1 PRL	430
Q9ULW8	PADI3 PAD3 PDI3	664
O15460	P4HA2 UNQ290/PRO330	535
P23760	PAX3 HUP2	479
A8MW92	PHF20L1 CGI-72	1017
Q8N3R9	PALS1 MPP5	675
Q6NUJ5	PWWP2B PWWP2	590
Q15070	OXA1L	435
P35558	PCK1 PEPCK1	622
Q99489	DDO	341
O00264	PGRMC1 HPR6.6 PGRMC	195
P05164	MPO	745
Q9BWF3	RBM4 RBM4A	364
P61106	RAB14	215
P52756	RBM5 H37 LUCA15	815
Q9Y580	RBM7	266
Q9NP72	RAB18	206
Q9Y5S9	RBM8A RBM8 HSPC114 MDS014	174
P29558	RBMS1 C2orf12 MSSP MSSP1 SCR2	406
P62820	RAB1A RAB1	205
Q15434	RBMS2 SCR3	407
Q9Y388	RBMX2 CGI-79	322
Q9H0U4	RAB1B	201
Q9H1K0	RBSN ZFYVE20	784
Q70E73	RAPH1 ALS2CR18 ALS2CR9 KIAA1681 LPD PREL2 RMO1	1250
Q9UL25	RAB21 KIAA0118	225
P57735	RAB25 CATX8	213
P51157	RAB28	221
P61019	RAB2A RAB2	212
Q15771	RAB30	203
Q13636	RAB31 RAB22B	194
P23219	PTGS1 COX1	599
Q15311	RALBP1 RLIP RLIP1 RLIP76	655
Q16654	PDK4 PDHK4	411
P20337	RAB3B	219
Q96E17	RAB3C	227
O95716	RAB3D GOV RAB16	219
Q93062	RBPMS HERMES	196
P20936	RASA1 GAP RASA	1047
Q86YS6	RAB43 RAB41	212
Q6ZRY4	RBPMS2	209
Q15276	RABEP1 RAB5EP RABPT5 RABPT5A	862
P20338	RAB4A RAB4	218
P61018	RAB4B PP1596	213
Q8IZ41	RASEF RAB45	740
P20339	RAB5A RAB5	215
Q9NS23	RASSF1 RDA32	344
P61020	RAB5B	215
P51148	RAB5C RABL	216
P20340	RAB6A RAB6	208
Q8WWW0	RASSF5 NORE1 RAPL	418
P29762	CRABP1 RBP5	137
Q9NRW1	RAB6B	208
Q8NHQ8	RASSF8 C12orf2	419
P29373	CRABP2	138
P51149	RAB7A RAB7	207
Q9UJ41	RABGEF1 RABEX5	491
P01112	HRAS HRAS1	189
P25791	LMO2 RBTN2 RBTNL1 RHOM2 TTG2	158
P01116	KRAS KRAS2 RASK2	189
P62877	RBX1 RNF75 ROC1	108
P63000	RAC1 TC25 MIG5	192
Q9UBF6	RNF7 RBX2 ROC2 SAG	113
P0DJD3	RBMY1A1 RBM1 RBM2 YRRM1 YRRM2	496
Q9NYN1	RASL12 RIS	266
P15153	RAC2	192
P06400	RB1	928
P01111	NRAS HRAS1	189
P60763	RAC3	192
P43686	PSMC4 MIP224 TBP7	418
Q9UKA9	PTBP2 NPTB PTB PTBLP	531
P38159	RBMX HNRPG RBMXP1	391
P51151	RAB9A RAB9	201
Q96QF0	RAB3IP RABIN8	476
P35244	RPA3 REPA3 RPA14	121
Q8WVD5	RNF141 ZNF230	230
P24928	POLR2A POLR2	1970
P19474	TRIM21 RNF81 RO52 SSA1	475
Q9NTX7	RNF146	359
P09651	HNRNPA1 HNRPA1	372
P02753	RBP4 PRO2222	201
Q96L21	RPL10L	214
P27635	RPL10 DXS648E QM	214
P18077	RPL35A GIG33	110
O43567	RNF13 RZF	381
Q9H0F5	RNF38	515
Q7Z7F7	MRPL55 UNQ5835/PRO19675	128
Q96LD8	SENP8 DEN1 NEDP1 PRSC2 FKSG8	212
P04844	RPN2	631
P62854	RPS26	115
Q8WXH0	SYNE2 KIAA1011 NUA	6885
Q6ZMZ3	SYNE3 C14orf139 C14orf49 LINC00341	975
Q8N205	SYNE4 C19orf46	404
O15061	SYNM DMN KIAA0353 SYN	1565
P49848	TAF6 TAF2E TAFII70	677
O43426	SYNJ1 KIAA0910	1573
P54136	RARS1 RARS	660
O15056	SYNJ2 KIAA0348	1496
Q15545	TAF7 TAF2F TAFII55	349
Q7Z7C8	TAF8 TAFII43 TBN	310
Q16594	TAF9 TAF2G TAFII31	264
Q7L8C5	SYT13 KIAA1427	426
Q9BSW7	SYT17	474
P21579	SYT1 SVP65 SYT	422
Q9H2B2	SYT4 KIAA1342	425
O00445	SYT5	386
P54577	YARS1 YARS	528
O43581	SYT7 PCANAP7	403
P37802	TAGLN2 KIAA0120 CDABP0035	199
Q9Y2Z4	YARS2 CGI-04	477
P26639	TARS1 TARS	723
Q9HCH5	SYTL2 KIAA1597 SGA72M SLP2 SLP2A	934
Q96C24	SYTL4	671
P48775	TDO2 TDO	406
Q15750	TAB1 MAP3K7IP1	504
Q9NYJ8	TAB2 KIAA0733 MAP3K7IP2	693
P52657	GTF2A2 TF2A2	109
Q9BXJ8	TMEM120A TACAN TMPIT	343
Q71SY5	MED25 ACID1 ARC92 PTOV2 TCBAP0758	747
Q16674	MIA	131
P53778	MAPK12 ERK6 SAPK3	367
Q9Y217	MTMR6	621
P42898	MTHFR	656
O95255	ABCC6 ARA MRP6	1503
Q9BT17	MTG1 GTPBP7	334
Q99551	MTERF1 MTERF	399
Q15746	MYLK MLCK MLCK1 MYLK1	1914
O95178	NDUFB2	105
P01185	AVP ARVP VP	164
Q8WVV4	POF1B	589
P18031	PTPN1 PTP1B	435
P10586	PTPRF LAR	1907
P61586	RHOA ARH12 ARHA RHO12	193
Q6P4F7	ARHGAP11A KIAA0013	1023
P84095	RHOG ARHG	191
P40429	RPL13A	203
O94885	SASH1 KIAA0790 PEPE1	1247
Q6UVJ0	SASS6 SAS6	657
O00767	SCD FADS5 SCD1 SCDOS	359
Q8WYJ6	SEPTIN1 DIFF6 PNUTL3 SEPT1	372
Q15465	SHH	462
Q14141	SEPTIN6 KIAA0128 SEP2 SEPT6	434
P51532	SMARCA4 BAF190A BRG1 SNF2B SNF2L4	1647
Q8TEV9	SMCR8	937
P62318	SNRPD3	126
O94993	SOX30	753
P0CF51	TRGC1 TCRGC1	173
Q9HC62	SENP2 KIAA1331	589
Q9UPS6	SETD1B KIAA1076 KMT2G SET1B	1966
Q9UPR3	SMG5 EST1B KIAA1089	1016
P84022	SMAD3 MADH3	425
Q9Y6H5	SNCAIP	919
P0DP57	SLURP2	97
P60896	SEM1 C7orf76 DSS1 SHFDG1 SHFM1	70
P0DSE2	TRB	310
Q9NZC9	SMARCAL1 HARP	954
Q12824	SMARCB1 BAF47 INI1 SNF5L1	385
Q9C0C4	SEMA4C KIAA1739 SEMAI UNQ5855/PRO34487	833
Q9UJC5	SH3BGRL2 FASH3	107
A8K8P3	SFI1 KIAA0542	1242
Q96HL8	SH3YL1	342
Q9Y566	SHANK1	2161
Q96PX8	SLITRK1 KIAA1910 LRRC12 UNQ233/PRO266	696
P04278	SHBG	402
Q8ND04	SMG8 ABC2 C17orf71	991
Q92922	SMARCC1 BAF155	1105
Q9H0W8	SMG9 C19orf61	520
Q9NYZ4	SIGLEC8 SAF2	499
Q13309	SKP2 FBXL1	424
Q9UM00	TMCO1 TMCC4 PNAS-10 PNAS-136 UNQ151/PRO177	239
Q9BWF2	TRAIP RNF206 TRIP	469
Q9BYV2	TRIM54 MURF MURF3 RNF30	358
Q9BSI4	TINF2 TIN2	451
Q9BRZ2	TRIM56 RNF109	755
Q13445	TMED1 IL1RL1L IL1RL1LG	227
P40225	THPO MGDF	353
Q15363	TMED2 RNP24	201
O14773	TPP1 CLN2 GIG1 UNQ267/PRO304	563
Q12931	TRAP1 HSP75	704
P28289	TMOD1 D9S57E TMOD	359
Q969Q1	TRIM63 IRF MURF1 RNF28 SMRZ	353
Q96A98	PTH2 TIP39 TIPF39	100
Q6PJ69	TRIM65	517
P0DSE1	TRA	268
O15016	TRIM66 C11orf29 KIAA0298	1216
Q86WT6	TRIM69 RNF36 HSD-34 HSD34	500
O15393	TMPRSS2 PRSS10	492
O43617	TRAPPC3 BET3 CDABP0066	180
Q6ZMU5	TRIM72 MG53	477
Q9Y296	TRAPPC4 SBDN CGI-104 HSPC172 PTD009	219
Q96RU8	TRIB1 C8FW GIG2 TRB1	372
P31483	TIA1	386
P58753	TIRAP MAL	221
Q13009	TIAM1	1591
Q9UJV3	MID2 FXY2 RNF60 TRIM1	735
Q9BRJ7	NUDT16L1 SDOS TIRR	211
Q9C040	TRIM2 KIAA0517 RNF86	744
Q01085	TIAL1	375
Q07352	ZFP36L1 BERG36 BRF1 ERF1 RNF162B TIS11B	338
Q9C035	TRIM5 RNF88	493
Q9NP77	SSU72 HSPC182 PNAS-120	194
P47974	ZFP36L2 ERF2 RNF162C TIS11D	494
O95238	SPDEF PDEF PSE	335
Q9BUD6	SPON2 DIL1 UNQ435/PRO866	331
O14818	PSMA7 HSPC	248
Q6UWY2	PRSS57 PRSSL1 UNQ782/PRO1599	283
Q70Z35	PREX2 DEPDC2	1606
Q9BTD8	RBM42	480
Q99729	HNRNPAB ABBP1 HNRPAB	332
Q8NC44	RETREG2 C2orf17 FAM134A MAG2	543
O43665	RGS10	181
Q8IUF8	RIOX2 MDIG MINA MINA53 NO52	465
P78346	RPP30 RNASEP2	268
Q96K30	RITA1 C12orf52 RITA PSEC0043	269
P62750	RPL23A	156
Q02543	RPL18A	176
Q2MKA7	RSPO1	263
Q15404	RSU1 RSP1	277
Q9Y265	RUVBL1 INO80H NMP238 TIP49 TIP49A	456
P82664	MRPS10 MSTP040	201
Q9Y230	RUVBL2 INO80J TIP48 TIP49B CGI-46	463
P82912	MRPS11 RPMS11 HCC2	194
O15235	MRPS12 RPMS12 RPSM12	138
O60783	MRPS14	128
P09234	SNRPC	159
P82914	MRPS15 RPMS15 DC37	257
Q9Y399	MRPS2 CGI-91	296
Q9Y3D3	MRPS16 RPMS16 CGI-132	137
Q9Y2R5	MRPS17 RPMS17 HSPC011	130
P82675	MRPS5	430
Q9NVS2	MRPS18A	196
P09661	SNRPA1	255
Q9Y676	MRPS18B C6orf14 HSPC183 PTD017	258
P82932	MRPS6 C21orf101 RPMS6	125
Q9Y3D5	MRPS18C CGI-134	142
P82933	MRPS9 RPMS9	396
P08579	SNRPB2	225
Q9Y2R9	MRPS7	242
P82921	MRPS21 RPMS21 MDS016	87
P82650	MRPS22 C3orf5 RPMS22 GK002	360
Q9Y3D9	MRPS23 CGI-138 HSPC329	190
Q92541	RTF1 KIAA0252	710
Q92622	RUBCN KIAA0226	972
Q96EL2	MRPS24 HSPC335	167
P82663	MRPS25 RPMS25	173
Q9BYN8	MRPS26 C20orf193 RPMS13	205
Q96T51	RUFY1 RABIP4 ZFYVE12	708
Q92552	MRPS27 KIAA0264	414
Q9Y2Q9	MRPS28 MRPS35 HSPC007	187
P51398	DAP3 MRPS29	398
Q9NP92	MRPS30 PDCD9 BM-047	439
Q92665	MRPS31 IMOGN38	395
O95197	RTN3 ASYIP NSPL2	1032
Q01196	RUNX1 AML1 CBFA2	453
Q9Y291	MRPS33 CGI-139 PTD003	106
P82930	MRPS34	218
P82673	MRPS35 MRPS28 HDCMD11P MDS023 PSEC0213	323
Q9BZR6	RTN4R NOGOR UNQ330/PRO526	473
Q13950	RUNX2 AML3 CBFA1 OSF2 PEBP2A	521
Q15233	NONO NRB54	471
Q16236	NFE2L2 NRF2	605
Q9C000	NLRP1 CARD7 DEFCAP KIAA0926 NAC NALP1	1473
Q9BSD7	NTPCR C1orf57	190
Q9UKK6	NXT1	140
Q9Y2J8	PADI2 KIAA0994 PAD2 PDI2	665
Q9H1P3	OSBPL2 KIAA0772 ORP2	480
P01298	PPY PNP	95
Q96RI0	F2RL3 PAR4	385
Q9NVD7	PARVA MXRA2	372
P50876	RNF144A KIAA0161 RNF144 UBCE7IP4	292
